28233,57900
15921,57755
24362,57730
12147,57660
42702,57637
18881,57655
40486,57647
34458,57589
42292,57599
15720,57545
16604,57537
15322,57553
45974,57512
12945,57532
13765,57538
25953,57429
41019,57443
27364,57431
35009,57475
21384,57447
21957,57446
39748,57425
13809,57362
32403,57402
32877,57388
22550,57362
48518,57396
38036,57381
27101,57355
35046,57336
35779,57343
4577,57341
12485,57317
28989,57338
29505,57357
11728,57316
26586,57368
28735,57341
16186,57323
48578,57324
51297,57323
43003,57326
19306,57343
32876,57261
22744,57282
23507,57270
12293,57291
41081,57291
48045,57275
32778,57291
37932,57239
36529,57285
34748,57258
15660,57291
20118,57298
14542,57251
14450,57281
21175,57276
31628,56922
37273,56703
26424,56588
34286,56636
28443,56561
15855,56554
13674,56516
25433,56543
51,56534
36969,56529
21152,56480
41806,56495
49072,56504
51349,56525
42696,56495
14559,56428
30708,56462
36138,56476
10349,56436
26336,56466
32401,56447
55007,56448
32237,56370
36659,56386
15242,56349
14569,56404
52291,56393
33022,56386
10062,56290
29862,56325
29020,56308
31269,56296
11481,56343
27922,56322
10207,56315
43135,56299
29468,56314
12129,56306
26423,56282
26197,56322
23115,56293
18628,56338
32719,56262
16409,56216
17482,56274
39768,56265
24309,56224
36762,56253
13415,56229
43333,56266
49048,56235
39686,56273
27204,56244
29206,56265
25403,56252
34091,56245
28376,56259
24918,56241
9586,56266
13976,56218
15824,56269
37690,56211
31503,56162
13791,56179
29178,55877
15826,55597
36810,55634
54,55504
39770,55518
22562,55544
24460,55472
11189,55471
16959,55472
24411,55455
31773,55485
34467,55475
30561,55405
31572,55442
27115,55450
18403,55388
38524,55412
27468,55395
12857,55389
3181,55342
14217,55381
36707,55385
12581,55358
16131,55387
29552,55336
18618,55303
30330,55268
11750,55320
10548,55264
29377,55318
10010,55272
20707,55311
34887,55306
31267,55286
33303,55300
50508,55292
28300,55265
14157,55247
38420,55198
40082,55244
52,55256
30871,55243
20972,55253
14803,55230
12580,55257
12132,55233
30,55209
37782,55219
44266,55250
19602,55257
32867,55239
23455,55223
17048,55224
21977,55171
29,55116
6,54990
18428,55040
14333,55047
21292,55001
35416,55011
11696,55028
29485,55017
35080,54896
26993,54905
13940,54793
30689,54506
33533,54461
13297,54435
45122,54481
31233,54405
21126,54410
11927,54407
18565,54376
25968,54364
39325,54342
12,54316
22832,54307
16364,54296
27443,54343
38488,54303
28344,54354
32631,54360
9056,54300
12303,54317
7696,54307
11108,54258
43914,54291
47964,54299
50753,54263
16187,54266
14075,54299
46,54301
14813,54288
26109,54318
22493,54315
41792,54307
33468,54258
32372,54285
17785,54320
15520,54315
22889,54204
12277,54244
27547,54250
40546,54248
9775,54227
31485,54193
24869,54201
33367,54251
14264,54191
51651,54238
23461,54207
12584,54221
38677,54244
38890,54238
12730,54245
33069,54198
17530,54191
64,54077
12422,54103
38546,54093
37028,54102
17066,53993
27254,54024
27518,54044
31263,53987
50344,54029
9,54022
37716,53876
25605,53699
29041,53710
30609,53709
15727,53680
13900,53683
48032,53707
17167,53697
19946,53700
33939,53725
50290,53661
41312,53606
16784,53584
14142,53600
17901,53589
15660,53414
40416,53464
16824,53468
19,53375
8889,53305
9584,53361
29216,53326
44,53345
25026,53354
34418,53328
32414,53348
12307,53247
29546,53250
19992,53278
32759,53266
42734,53261
38605,53261
48119,53203
46097,53210
26216,53162
22055,53191
16568,53209
24126,53196
37602,53192
13947,53172
23834,53162
14470,53222
30477,53213
24387,53191
23,53221
47333,53178
37511,53175
14915,53163
29632,53122
21306,53135
47321,53136
28144,53120
31513,53095
37294,53155
15048,53145
16547,53126
12280,53156
40,53111
31575,53141
10023,53105
39664,53155
23279,53098
36750,53133
30270,53114
15406,53146
17084,53118
15968,53117
37231,53033
11297,53027
21065,53067
11661,53053
28521,53035
16614,53035
49314,53071
37173,53084
10129,53091
37137,53075
31293,53072
14534,53037
23080,53058
35921,53058
30257,53049
40179,52991
42774,53047
25935,53031
36041,53054
35139,53004
45081,53052
38302,52974
40,52982
36662,52968
19629,52929
33652,52981
17665,52927
33618,52925
43878,52847
20726,52886
29060,52904
9352,52828
10260,52810
37204,52795
10557,52783
11006,52781
11467,52784
41,52780
41599,52807
28174,52808
37539,52818
40767,52806
36500,52791
34093,52784
15736,52831
12734,52719
32788,52744
28395,52729
49220,52763
14755,52740
27593,52759
13,52702
30114,52693
14321,52684
42968,52722
24149,52666
57,52680
38527,52702
20490,52696
31223,52680
21879,52680
31225,52714
13789,52719
20624,52672
41029,52598
41313,52613
40914,52661
17172,52634
37738,52647
13337,52610
12729,52638
26941,52661
11136,52570
29255,52532
18474,52544
29928,52529
24008,52562
9717,52528
21860,52526
10443,52534
14109,52565
22067,52580
23055,52548
10319,52523
17639,52491
39224,52522
14966,52487
38830,52497
20653,52508
15,52511
39474,52507
47258,52538
41169,52536
43013,52541
45853,52526
25541,52523
34835,52543
31301,52520
34426,52429
9065,52465
42435,52480
18067,52464
21997,52461
20717,52448
23891,52478
6,52487
14369,52458
29307,52438
12105,52464
20243,52463
16153,52385
20326,52351
36725,52404
30502,52366
35702,52384
37693,52347
17043,52399
11624,52384
34111,52337
12011,52342
50289,52279
24946,52317
34786,52310
41424,52327
14215,52306
13685,52295
23379,52237
48215,52258
29612,52260
15730,52230
22030,52238
27040,52224
19166,52234
42831,52270
34264,52224
32847,52243
23086,52211
24955,52252
44996,52254
51307,52215
43852,52170
